CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC SYNONYM.NEW CCCCCCCCCCCCCCC/
CC                                                                    /
CC                BADA SYNONYM FILE                                   /
CC                                                                    /
CC                                                                    /
CC      File_name: SYNONYM.NEW                                        /
CC                                                                    /
CC      Creation_date: Apr 30 2002                                    /
CC                                                                    /
CC      Modification_date: May 09 2019                                /
CC                                                                    /
CC                                                                    /
CC====== Aircraft List ===============================================/
CC                                                                    /
CC   A/C    MANUFACTURER        NAME OR MODEL             FILE   ICAO /
CC   CODE                                                             /
CC                                                                    /
CD * A1     DOUGLAS             A-1 Skyraider            SW4___  Y    /
CD - A10    FAIRCHILD           A-10A                    A10___  Y    /
CD - A124   ANTONOV             An-124-100               A124__  Y    /
CD - A140   ANTONOV             An-140                   A140__  Y    /
CD - A148   ANTONOV             An-148-100B              A148__  Y    /
CD - A158   ANTONOV             An-158                   A158__  Y    /
CD * A178   ANTONOV             An-178                   E190__  Y    /
CD * A19    AEROPRACT           A-19                     SVNH__  Y    /
CD * A19N   AIRBUS              A319neo                  A20N__  Y    /
CD * A20J   SCHLEICHER          ASW-20CL-J               DIMO__  Y    /
CD - A20N   AIRBUS              A320-271N                A20N__  Y    /
CD * A210   AQUILA              A-210/211                C162__  Y    /
CD * A211   ALFA-M              A-211                    SVNH__  Y    /
CD - A21N   AIRBUS              A321-251N                A21N__  Y    /
CD * A22    SADLER              A-22 Piranha             P28R__  Y    /
CD * A225   ANTONOV             An-225 Mriya             A124__  Y    /
CD * A23    AEROPRACT           A-23 Dragon              SVNH__  Y    /
CD * A270   IBIS                Ae-270 Spirit            F406__  Y    /
CD * A3     DOUGLAS             A-3 Skywarrior           A10___  Y    /
CD - A306   AIRBUS              A300B4-622               A306__  Y    /
CD - A30B   AIRBUS              A300B4-203               A30B__  Y    /
CD - A310   AIRBUS              A310-204                 A310__  Y    /
CD - A318   AIRBUS              A318-112                 A318__  Y    /
CD - A319   AIRBUS              A319-131                 A319__  Y    /
CD - A320   AIRBUS              A320-231                 A320__  Y    /
CD - A321   AIRBUS              A321-111                 A321__  Y    /
CD * A33    AEROPRACT           A-33                     MAGC__  Y    /
CD - A332   AIRBUS              A330-243                 A332__  Y    /
CD - A333   AIRBUS              A330-301                 A333__  Y    /
CD * A337   AIRBUS              A330-700 Beluga XL       A3ST__  Y    /
CD * A338   AIRBUS              A330-800                 A339__  Y    /
CD - A339   AIRBUS              A330-941                 A339__  Y    /
CD - A342   AIRBUS              A340-213                 A342__  Y    /
CD - A343   AIRBUS              A340-313                 A343__  Y    /
CD - A345   AIRBUS              A340-541                 A345__  Y    /
CD - A346   AIRBUS              A340-642                 A346__  Y    /
CD * A358   AIRBUS              A350-800 XWB             A359__  N    /
CD - A359   AIRBUS              A350-941                 A359__  Y    /
CD - A35K   AIRBUS              A350-1041                A35K__  Y    /
CD * A37    CESSNA              A-37 Dragonfly           L39___  Y    /
CD - A388   AIRBUS              A380-841                 A388__  Y    /
CD - A3ST   AIRBUS              A300B4-608ST             A3ST__  Y    /
CD * A4     DOUGLAS             A-4 Skyhawk              HAWK__  Y    /
CD * A400   AIRBUS              A-400M                   IL76__  Y    /
CD * A5     ICON                A-5                      MAGC__  Y    /
CD * A50    BERIEV              A-50                     IL76__  Y    /
CD * A500   ADAM                A-500                    B58T__  Y    /
CD * A6     GRUMMAN             A-6E Intruder            A10___  Y    /
CD * A660   THRUSH              660 Turbo Thrush         AN28__  Y    /
CD * A7     LTV                 A-7 Corsair 2            F16___  Y    /
CD * A743   ANTONOV             An-74-300                A158__  Y    /
CD * A748   AVRO                748                      F27___  Y    /
CD * A900   AVIATIKA            MAI-900 Acrobat          MAGC__  Y    /
CD * AA1    GRUMMAN AMERICAN    AA-1 Yankee              C162__  Y    /
CD * AA5    GRUMMAN AMERICAN    AA-5 Cheetah             P28A__  Y    /
CD * AAT3   AERO                AT-3                     C162__  Y    /
CD * AAT4   AERO                AT-4                     C162__  Y    /
CD * AC11   ROCKWELL            Commander 115            M20T__  Y    /
CD * AC4    LIGHT WING          AC-4                     MAGC__  Y    /
CD * AC50   AERO                Commander 500            DA62__  Y    /
CD * AC52   AERO                Commander 520            DA62__  Y    /
CD * AC56   AERO                Commander 560            C414__  Y    /
CD * AC5A   NANJING             AC-500 Aircar            C182__  Y    /
CD * AC68   AERO                Commander 680 Super      C421__  Y    /
CD * AC6L   ROCKWELL            Commander 685            C414__  Y    /
CD * AC72   AERO                Commander 720 Alti Cruis C421__  Y    /
CD * AC80   ROCKWELL            Turbo Commander 680      BE99__  Y    /
CD * AC90   ROCKWELL            Turbo Commander 690      PAY3__  Y    /
CD * AC95   ROCKWELL            Jetprop Commander 980    PAY3__  Y    /
CD * ACAM   LOCKWOOD            Air Cam                  C182__  Y    /
CD * ACAR   AUSTER              J-5B Autocar             MAGC__  Y    /
CD * ADVE   AUSTER              J-5 Adventurer           MAGC__  Y    /
CD * AE45   LET                 Aero 45                  C82S__  Y    /
CD * AERK   AERONCA             K Scout                  SVNH__  Y    /
CD * AEST   PIPER               Aerostar                 B58T__  Y    /
CD * AFOX   HALLEY              Apollo Fox               SVNH__  Y    /
CD * AIGT   AUSTER              J-5F Aiglet Trainer      MAGC__  Y    /
CD * AJ27   COMAC               ARJ21-700 Xiangfeng      A148__  Y    /
CD - AJET   DASSAULT-DORNIER    Alpha Jet                AJET__  Y    /
CD * AKRO   STEPHENS            Akro                     TB21__  Y    /
CD * ALC1   ALTAIR COELHO       AC-11                    SVNH__  Y    /
CD * ALGR   FANTASY AIR         Allegro                  EV97__  Y    /
CD * ALIG   ARION               LS-1 Lightning           E300__  Y    /
CD * ALPI   AUSTER              J-5R Alpine              T206__  Y    /
CD * ALSL   AIRLONY             Skylane                  EV97__  Y    /
CD * AMX    AMX                 A-1                      AJET__  Y    /
CD - AN12   ANTONOV             An-12                    AN12__  Y    /
CD * AN2    ANTONOV             An-2                     C188__  Y    /
CD * AN22   ANTONOV             An-22 Antheus            A339__  Y    /
CD - AN24   ANTONOV             An-24                    AN24__  Y    /
CD * AN26   ANTONOV             An-26                    AN30__  Y    /
CD - AN28   ANTONOV             An-28                    AN28__  Y    /
CD - AN30   ANTONOV             An-30                    AN30__  Y    /
CD - AN32   ANTONOV             An-32B                   AN32__  Y    /
CD - AN38   ANTONOV             An-38-100                AN38__  Y    /
CD * AN70   ANTONOV             An-70                    C30J__  Y    /
CD * AN72   ANTONOV             An-72                    F100__  Y    /
CD * ANGL   ANGEL               44 Angel                 P28T__  Y    /
CD * ANKA   TAI                 Anka                     C402__  Y    /
CD * AP20   AEROPRAKT           A-20                     SVNH__  Y    /
CD * AP22   AEROPRAKT           A-22                     EV97__  Y    /
CD * AP24   AEROPRAKT           A-24                     SVNH__  Y    /
CD * AP26   AEROPRAKT           A-26                     MAGC__  Y    /
CD * AP28   AEROPRAKT           A-28                     SVNH__  Y    /
CD * AP32   AEROPRAKT           A-32 Vixxen              C162__  Y    /
CD * AP36   AEROPRAKT           A-36                     T210__  Y    /
CD * APM2   ISSOIRE             APM-20 Lionceau          MAGC__  Y    /
CD * APM3   ISSOIRE             APM-30 Lion              C162__  Y    /
CD * APM4   ISSOIRE             APM-40 Simba             P28A__  Y    /
CD * APUP   AEROPUP             Aeropup                  MAGC__  Y    /
CD * AR11   AERONCA             11 Chief                 MAGC__  Y    /
CD * AR15   AERONCA             15 Sedan                 MAGC__  Y    /
CD * AR50   AERONCA             50 Chief                 SVNH__  Y    /
CD * AR5T   AERONCA             50 Tandem                SVNH__  Y    /
CD * AR65   AERONCA             65 Super Chief           SVNH__  Y    /
CD * AR6T   AERONCA             65 Tandem                SVNH__  Y    /
CD * ARCE   SCHEMPP-HIRTH       Arcus E                  DIMO__  Y    /
CD * ARCP   SCHEMPP-HIRTH       Arcus M                  DIMO__  Y    /
CD * ARV1   ARV                 ARV-1 Super 2            SVNH__  Y    /
CD * ARVA   IAI                 Arava                    C208__  Y    /
CD * AS02   FFA                 AS-202-15/18/26 Bravo    C182__  Y    /
CD * AS14   SCHLEICHER          ASK-14                   SF25__  Y    /
CD * AS16   SCHLEICHER          ASK-16                   DIMO__  Y    /
CD * AS20   SCHLEICHER          ASW-20TOP                DIMO__  Y    /
CD * AS21   SCHLEICHER          ASK-21Mi                 DIMO__  Y    /
CD * AS22   SCHLEICHER          ASW-22BE                 SF25__  Y    /
CD * AS25   SCHLEICHER          ASH-25E/M/Mi/SL          DIMO__  Y    /
CD * AS26   SCHLEICHER          ASH-26E                  DIMO__  Y    /
